,dia,ponto1,ponto2,ponto3,ponto4
223,2023-01-30,0 days 08:31:00,0 days 12:21:00,0 days 13:26:00,0 days 16:47:00
224,2023-01-27,0 days 08:40:00,0 days 11:50:00,0 days 13:32:00,0 days 18:21:00
225,2023-01-26,0 days 08:42:00,0 days 12:00:00,0 days 13:15:00,0 days 18:03:00
226,2023-01-25,0 days 08:34:00,0 days 12:07:00,0 days 13:30:00,0 days 18:19:00
227,2023-01-24,0 days 08:24:00,0 days 12:05:00,0 days 13:30:00,0 days 18:00:00
228,2023-01-23,0 days 08:29:00,0 days 10:45:00,0 days 12:49:00,0 days 18:16:00
229,2023-01-20,0 days 08:33:00,0 days 12:11:00,0 days 13:44:00,0 days 18:11:00
230,2023-01-19,0 days 08:26:00,0 days 12:26:00,0 days 13:45:00,0 days 18:15:00
231,2023-01-18,0 days 08:26:00,0 days 11:51:00,0 days 13:34:00,0 days 18:01:00
232,2023-01-17,0 days 08:28:00,0 days 12:17:00,0 days 13:43:00,0 days 18:20:00
233,2023-01-16,0 days 08:29:00,0 days 12:10:00,0 days 13:41:00,0 days 18:01:00
234,2023-01-13,0 days 08:29:00,0 days 12:20:00,0 days 13:55:00,0 days 18:07:00
235,2023-01-12,0 days 08:27:00,0 days 12:07:00,0 days 13:37:00,0 days 18:13:00
236,2023-01-11,0 days 08:29:00,0 days 12:19:00,0 days 13:50:00,0 days 18:12:00
237,2023-01-10,0 days 08:28:00,0 days 11:53:00,0 days 13:35:00,0 days 18:25:00
238,2023-01-09,0 days 08:28:00,0 days 12:11:00,0 days 13:39:00,0 days 18:05:00
239,2023-01-06,0 days 08:28:00,0 days 12:17:00,0 days 13:35:00,0 days 18:17:00
240,2023-01-05,0 days 08:28:00,0 days 12:07:00,0 days 13:51:00,0 days 18:18:00
241,2023-01-04,0 days 08:29:00,0 days 12:09:00,0 days 13:46:00,0 days 18:22:00
242,2023-01-03,0 days 08:29:00,0 days 12:09:00,0 days 13:44:00,0 days 18:10:00
243,2023-01-02,0 days 08:29:00,0 days 12:07:00,0 days 13:45:00,0 days 18:25:00
244,2022-12-30,0 days 08:28:00,0 days 11:17:00,0 days 13:13:00,0 days 18:10:00
245,2022-12-29,0 days 08:28:00,0 days 12:12:00,0 days 13:53:00,0 days 18:08:00
246,2022-12-28,0 days 08:33:00,0 days 12:05:00,0 days 13:38:00,0 days 18:02:00
247,2022-12-27,0 days 08:29:00,0 days 11:56:00,0 days 13:31:00,0 days 18:03:00
248,2022-12-26,0 days 08:27:00,0 days 12:11:00,0 days 13:42:00,0 days 18:01:00
50,2023-06-12,0 days 08:36:00,0 days 12:20:00,0 days 13:55:00,0 days 16:17:00
162,2023-03-08,0 days 08:33:00,0 days 12:00:00,0 days 13:30:00,0 days 17:30:00
